7	micro	-0.7	-0.73	-	discard	crates/backend/koala-bear/src/poseidon1_koalabear_16.rs	Tier 1 #5 sparse-MDS residual-dense audit: sparse_first_row[r][0] = mds_0_0 = MDS_CIRC_COL[0] = 1 by construction, so the partial-round s0*first_row[0] mul is identity. Replaced 20 vpmuludq + Mont reduce per perm with plain add. Bitwise-identical (test_plonky3_compatibility passes). Measured -0.73% with p=0.00081 across 12+12 samples (3 paired rounds: -0.79/-1.01/-0.40). Real and significant but below 1.0% gate. CANDIDATE FOR SUB-GATE BUNDLING (Research Principle #5).
8	micro	-1.2	-0.34	-	discard	crates/backend/koala-bear/src/poseidon1_koalabear_16.rs,crates/lean_vm/src/tables/poseidon_16/mod.rs	Bundle: pw4-7 SIMD identity-mul + sparse_mat_air_16 same identity-mul (AIR side). Predicted compounding to cross 1.0% gate. Measured -0.34% p=0.126 across 12+12 (per-round: +0.29/-0.44/-0.85) — INSIGNIFICANT and WEAKER than pw4-7 alone. The AIR-side change introduces negative-impact variance: new_s0 = state[0] + accumulate gives the codegen worse info than new_s0 = ZERO + accumulate(j=0..16). Lesson: identity-mul-elimination only wins on the SIMD hot path; the AIR path is symbolic/generic and the optimizer handles the *1 differently. Returned to pw4-7-revert baseline.
9	micro	-0.9	-0.73	-	discard	crates/backend/koala-bear/src/poseidon1_koalabear_16.rs	Bundle attempt 2: pw4-7 SIMD identity-mul + constant-array layout tightening (drop unused [0] of packed_sparse_first_row, drop [15] of packed_sparse_v, rename to packed_sparse_w_hat). Predicted compounding via reduced L1D pressure (40 cache lines saved). Measured -0.73% p=0.000364 (per-round: -0.96/-0.96/-0.28) — IDENTICAL TO pw4-7 ALONE. Layout change contributes 0% beyond the identity-mul removal. Confirms the cache footprint reduction (~2.5 KiB) is below detection threshold on this baseline; the -0.73% is purely the mul-port relief. Still sub-gate; no compounding companion found across 3 attempts (pw4-7/8/9).
10	structural	-0.5	-0.08	-	discard	crates/backend/koala-bear/src/poseidon1_koalabear_16.rs	Tier 1 #2 delayed Montgomery reduction across partial-round S-box chain (AVX-512 only). Replaced canonical mod-add (vpaddd+vpsubd+vpminud, 3-cycle latency) for `+= rc[r]` with raw vpaddd (1-cycle), leaving s0 in [0, 2P) un-reduced; bound checked that Mont mul tolerates 2P*P < 2^32*P input (since P < 2^31). Measured -0.08% p=0.80 across 12+12 (per-round: -0.81/+0.11/+0.46) — INSIGNIFICANT. Latency saving of ~2 cycles/round * 20 rounds = 40 cycles/perm is hidden by OOO execution; the mod-add was not on the binding critical chain at this baseline. Lesson: source-level latency-reduction predictions overstate impact on Zen 4 with deep OOO window. The mul-port THROUGHPUT (not latency) is the binding constraint, and this change does not reduce mul-port pressure. Structural (+0 pts).
11	structural	-8.0	+2.64	-	discard	crates/backend/koala-bear/src/poseidon1_koalabear_16.rs,crates/backend/symetric/src/{compression,merkle,permutation}.rs	Tier 1 #1 retry: full permute_simd_x2 lockstep + compress_pair_mut wiring across mt-symetric Compression trait, compress_layer pair-chunking, and Poseidon1KoalaBear16 (with pw4-7 identity-mul bundled). Per-element constant scoping (let rc=...; let v_j=...;) intended to address exp6 spill caveat by limiting constant lifetimes. Measured +2.64% p=0.0003 REGRESSION (per-round: +2.73/+5.35/-0.08). Per candidate pool prediction +8-12%; the actual codegen still spilled register state across the A/B paired ops despite source-level scoping. Likely reasons: (a) 2*16=32 state ZMMs leave 0 room for active constants — every constant load forces a state spill; (b) OOO reorder buffer saturates with 2x in-flight ops, hurting throughput rather than helping. Confirms exp6 finding — the redesign approach (streamed reload) does not avoid spills on this compiler/codegen. Structural (+0 pts).
12	micro	-0.3	-2.92	367.6	discard	crates/lean_prover/src/lib.rs	Tier 2 pow_bits rebalance: GRINDING_BITS 16 -> 14 (extends exp5's 18->16 trend). Re-gated with n=7 (28+28 samples): wall-clock -2.92% p=0.000483 — gate would KEEP based on wall-clock alone. HOWEVER measured proof_size: 350.05 KiB (pow_bits=16) -> 367.57 KiB (pow_bits=14) = +5.00% increase. Scoring rule net = throughput_pct - 3 * proof_size_increase_pct = 2.92 - 3*5.00 = -12.08 NEGATIVE. The 3x proof-size penalty dominates the wall-clock gain. DISCARDED per scoring rule (not gate threshold). Lesson: the pow_bits/queries tradeoff is unfavorable beyond exp5's 16. Per-bit reduction of pow_bits costs roughly 2.5% proof size for ~1.5% throughput — score-negative. Higher pow_bits (toward 18) might INCREASE proof size by similar amount but reduce throughput; should be re-explored. Micro discard (+1.0 pt). proof_kib=367.6 logged for first time.
13	medium	-3.0	-1.25	348.3	keep	crates/backend/koala-bear/src/poseidon1_koalabear_16.rs	Tier 1 #3 + #5 BUNDLE: scalar-bind 15 s_hi values across the partial-round inner loop (so the compiler keeps them register-resident across 20 rounds), unroll dot_product and rank-1 update over named locals, AND drop sparse_first_row[r][0]=1 identity mul (pw4-7). Profile baseline pinpointed `vmovdqa64 [rsp+0x780+rsi*1], zmm` at 2.22% as hottest line — disassembly confirms this is the rank-1 WRITE to split.s_hi[j] memory slot (NOT a spill: compiler kept s_hi array memory-backed). Rewrite eliminates the per-j store/load by binding to scalars. Measured -1.25% wall-clock p=0.000927 (KEEP, gate crossed). Proof size 348.34 KiB vs baseline 350.05 KiB = -0.5% (algebraic identity, expected unchanged; small diff is noise / PoW nonce length). Net score = 1.25 - 3*(-0.5) = +2.75 POSITIVE. Reset stop counter to 0 per program.md (any keep resets).
14	medium	-0.5	+0.23	-	discard	crates/lean_vm/src/tables/poseidon_16/trace_gen.rs	Phase 4 pivot to lean_vm subsystem after pw4-13 keep. Apply pw4-13 pattern scalar-bind state and drop identity mul to generate_trace_rows_for_perm AIR trace gen. n=7 measured -1.19% but p=0.087 high variance per-round +5.67/-2.74. n=10 confirms NO SIGNAL +0.23% p=0.473. The same pattern from pw4-13 does not transfer to this site likely because trace_gen has smaller share than predicted or state was already register-resident. Medium discard +0.5 pts.
15	medium	-1.5	-2.13	349.8	keep	crates/backend/koala-bear/src/poseidon1_koalabear_16.rs	Scalar-bind state across initial full rounds in permute_simd + inline mds_fft butterflies with macro-expanded scalar ops. Same insight as pw4-13 but extended to full-round phase. mds_fft was treating state[16] as memory-backed for 80 ops/round (32 dif_ifft + 16 lambda mul + 32 dit_fft). Macros bt_s neg_dif_s dit_s operate on named locals s_0..s_15. Measured -2.13% wall-clock p=0.000724 KEEP. Proof size 349.83 KiB vs pw4-13 baseline 348.34 = +0.4% noise. Net score = 2.13 - 3*0.4 = +0.93 positive. Compress_mut share drops further; cumulative wins now span full-round FFT and partial-round sparse-MDS. Reset counter to 0.
16	medium	-1.5	-0.68	-	discard	crates/backend/koala-bear/src/poseidon1_koalabear_16.rs	Apply pw4-15 scalar-binding pattern to TERMINAL full rounds (4 rounds 80 ops/round). n=7 -1.30% p=0.088 high variance n=10 -0.68% p=0.00213 sub-gate. Real but smaller than pw4-15 init-rounds gain -2.13%. Likely because terminal rounds are at end no further phases to chain register residency to AND the state-array write-back happens immediately after. Memory boundary at end-of-permute defeats some of the scalar-binding benefit. SUB-GATE-REAL candidate p<0.01 but mean below 1% threshold. Medium discard +0.5 pts.
